Gene	Endotype	is_seed
DPH6	10	0
DPP10	10	0
DPY19L4	10	0
DPYS	10	0
DQX1	10	0
DSE	10	0
DSG4	10	0
DSTYK	10	0
DTNB	10	1
DTX2	10	0
ECE1	10	0
EDA	10	0
EEF1A1	10	0
EEF1G	10	0
EEF2	10	0
EFEMP2	10	0
EFNB1	10	1
EFNB3	10	0
EFTUD2	10	0
EGLN3	10	0
EHBP1L1	10	1
EIF2B2	10	0
EIF2B3	10	0
EIF2B4	10	0
ELAC2	10	1
ELANE	10	0
ELAVL1	10	0
ENO1	10	0
ENPP2	10	1
ENTPD7	10	0
EPHA7	10	0
EPHB4	10	0
EPHX2	10	1
ERAP1	10	0
ERG	10	1
ERP44	10	0
ESR1	10	1
ESR2	10	1
EXD3	10	1
EXTL2	10	0
FAAH	10	1
FAM189B	10	0
FAM20B	10	0
FANCL	10	1
FBXL12	10	0
FBXO2	10	0
FBXO6	10	0
FBXO7	10	0
FBXW7	10	0
FEZF1	10	0
FGF13	10	1
FILIP1	10	1
FLG	10	0
FLNC	10	0
FLOT2	10	0
FMOD	10	0
FMR1	10	1
FNDC3B	10	1
FOXP2	10	1
FST	10	0
FSTL1	10	1
FTO	10	1
FUS	10	0
FZD6	10	0
G3BP1	10	0
GABARAP	10	0
GABRA3	10	1
GABRA5	10	0
GABRA6	10	0
GABRD	10	1
GABRG1	10	0
GABRG2	10	1
GAD1	10	0
GAL	10	1
GALNT11	10	0
GAPDH	10	0
GCN1	10	0
GDF5	10	1
GDF6	10	1
GDF7	10	1
GDNF	10	0
GFRA2	10	1
GGT6	10	0
GINM1	10	0
GJB2	10	0
GLA	10	1
GLRA2	10	1
GLRA3	10	1
GLRB	10	0
GLT8D1	10	0
GLT8D2	10	0
GNPAT	10	0
GOLT1B	10	0
GP1BB	10	0
GPAA1	10	0
GPD2	10	1
GPM6A	10	0
GPR151	10	0
GPR183	10	0
GPR3	10	1
GPR55	10	1
GPRC5C	10	0
GRIA3	10	1
GRN	10	1
GSDMC	10	1
GSG1	10	0
GSG1L	10	0
GTPBP8	10	0
GXYLT1	10	0
HCN1	10	1
HCN3	10	0
HCRTR2	10	1
HDAC2	10	0
HDAC4	10	1
HDC	10	1
HECW2	10	0
HERPUD1	10	0
HFE	10	1
HHIPL2	10	0
HIF1A	10	0
HINT1	10	1
HIST1H1A	10	0
HIST1H1B	10	0
HIST1H3A	10	0
HIST2H2BE	10	0
HIST3H3	10	0
HIST4H4	10	0
HK3	10	0
HLA-DPA1	10	1
HLA-DPB1	10	0
HLA-DQA1	10	0
HLA-DQB1	10	1
HLA-DQB2	10	1
HLA-F	10	0
HMG20A	10	0
HMOX1	10	0
HMOX2	10	1
HNRNPA1	10	0
HNRNPD	10	0
HNRNPK	10	0
HNRNPL	10	0
HNRNPU	10	0
HOXD13	10	0
HPCAL1	10	0
HPSE2	10	1
HS2ST1	10	0
HS3ST3B1	10	0
HSBP1L1	10	0
HSCB	10	0
HSP90AA1	10	0
HSP90AB1	10	0
HSP90B1	10	0
HSPA1A	10	0
HSPA4	10	0
HSPA5	10	0
HSPA8	10	0
HSPA9	10	0
HSPD1	10	0
HTR3A	10	1
HTR3B	10	1
HTT	10	0
HUWE1	10	0
ICA1	10	1
IDO1	10	1
IFNL3	10	0
IGHA2	10	0
IGLV3-25	10	0
IKBKE	10	1
IL10	10	1
IL17A	10	1
IL18	10	1
IL18BP	10	0
IL18RAP	10	1
IL20RB	10	0
IL9R	10	0
IMPA1	10	0
IMPACT	10	0
IPO13	10	0
IPO7	10	0
IRF2BP1	10	1
IRF2BPL	10	0
ISYNA1	10	0
ITCH	10	0
KAT2B	10	0
KAT5	10	0
KCNE5	10	0
KCNF1	10	0
KCNG3	10	0
KCNG4	10	1
KCNIP2	10	0
KCNIP3	10	1
KCNK10	10	1
KCNK5	10	1
KCNQ4	10	0
KCNQ5	10	0
KCNV2	10	0
KCTD17	10	0
KDM1A	10	0
KDM2A	10	1
KEL	10	0
KIAA0040	10	1
KIAA1586	10	0
KIFC3	10	0
KIN	10	0
KIRREL1	10	0
KLF7	10	1
KLHL1	10	0
KLRG2	10	0
KNDC1	10	1
KRT31	10	0
KRT85	10	0
KRTAP10-3	10	0
KRTAP10-7	10	0
KSR2	10	0
LACC1	10	0
LAMTOR5	10	0
LAPTM4A	10	0
LEMD2	10	1
LEP	10	1
LGALS9C	10	0
LIMS1	10	0
LMO2	10	0
LMO3	10	0
LMX1B	10	1
LNX1	10	0
LOC100290337	10	0
LONP2	10	0
LPCAT3	10	0
LRIF1	10	0
LRIG3	10	1
LRRC15	10	0
LRRC8E	10	0
LTBP2	10	1
LTF	10	0
LXN	10	1
LYAR	10	0
LYPD6	10	0
MAGEA11	10	0
MAL2	10	0
MANF	10	0
MAOB	10	1
MAP1B	10	0
MAPK15	10	0
MBOAT7	10	0
MCM2	10	0
MCM7	10	0
MCPH1	10	0
MDFI	10	0
MDM2	10	0
MEFV	10	1
MEOX2	10	0
MFAP3	10	0
MFSD10	10	0
MFSD3	10	0
MGAT4C	10	0
MGLL	10	1
MIB2	10	0
MIF	10	1
MINK1	10	0
MKI67	10	0
MLH1	10	0
MMAB	10	0
MME	10	1
MOV10	10	0
MPPED1	10	0
MSH2	10	1
MTHFD1	10	1
MTHFR	10	1
MTRR	10	1
MTUS2	10	0
MTX1	10	0
MYC	10	0
	10	0
NACA2	10	1
NAPSA	10	0
NAV2	10	1
NBL1	10	1
NBPF3	10	0
NCL	10	0
ND1	10	0
NDFIP2	10	0
NDN	10	1
NEDD4L	10	1
NEK4	10	0
NEURL4	10	0
NF2	10	0
NFYB	10	0
NMD3	10	0
NME3	10	0
NMRAL1	10	1
NNMT	10	1
NOG	10	1
NOS1AP	10	0
NOS3	10	1
NOTCH1	10	0
NOTCH2	10	0
NOTCH2NLA	10	0
NOTCH3	10	1
NPEPPS	10	1
NPLOC4	10	0
NPM1	10	1
NPPC	10	1
NPR1	10	0
NPR2	10	0
NPR3	10	0
NPY5R	10	0
NR2C1	10	0
